iter	Passed	Remaining
0	60	60684
1	61	30512
2	61	20426
3	61	15374
4	62	12362
5	62	10363
6	62	8929
7	63	7848
8	63	6997
9	63	6316
10	64	5761
11	64	5299
12	64	4911
13	65	4578
14	65	4298
15	65	4048
16	66	3829
17	66	3629
18	66	3451
19	67	3290
20	67	3145
21	67	3015
22	68	2895
23	68	2787
24	68	2686
25	69	2593
26	69	2506
27	69	2425
28	70	2350
29	70	2282
30	70	2216
31	71	2154
32	71	2098
33	72	2047
34	72	1999
35	72	1949
36	73	1903
37	73	1859
38	73	1818
39	74	1778
40	74	1741
41	74	1708
42	75	1674
43	75	1641
44	75	1609
45	76	1579
46	76	1549
47	76	1524
48	77	1497
49	77	1474
50	77	1449
51	78	1425
52	78	1403
53	78	1381
54	79	1360
55	79	1341
56	79	1323
57	80	1304
58	80	1285
59	80	1266
60	81	1250
61	81	1236
62	82	1222
63	82	1208
64	83	1195
65	83	1180
66	83	1167
67	84	1151
68	84	1139
69	84	1126
70	85	1113
71	85	1101
72	85	1089
73	86	1078
74	86	1067
75	86	1055
76	87	1044
77	87	1033
78	87	1022
79	87	1011
80	88	1001
81	88	991
82	88	982
83	89	972
84	89	961
85	89	953
86	89	943
87	90	936
88	90	929
89	91	922
90	91	915
91	92	908
92	92	900
93	92	894
94	93	887
95	93	880
96	93	873
97	94	866
98	94	859
99	94	853
100	95	846
101	95	838
102	95	831
103	95	825
104	96	818
105	96	812
106	96	806
107	96	800
108	97	795
109	97	789
110	97	784
111	98	779
112	98	773
113	98	768
114	99	764
115	99	758
116	99	753
117	100	748
118	100	743
119	100	739
120	101	734
121	101	730
122	101	724
123	101	720
124	102	716
125	102	712
126	103	708
127	103	704
128	103	700
129	104	696
130	104	692
131	104	688
132	105	684
133	105	681
134	105	678
135	106	674
136	106	671
137	106	667
138	107	663
139	107	660
140	107	656
141	108	653
142	108	649
143	108	645
144	108	642
145	109	639
146	109	636
147	109	632
148	110	629
149	110	626
150	110	623
151	111	620
152	111	617
153	111	614
154	112	612
155	112	609
156	113	607
157	113	604
158	113	601
159	114	599
160	114	596
161	114	593
162	115	591
163	115	588
164	115	586
165	116	583
166	116	580
167	116	578
168	117	576
169	117	573
170	117	571
171	118	568
172	118	565
173	118	563
174	119	561
175	119	558
176	119	556
177	120	555
178	120	553
179	120	551
180	121	547
181	121	546
182	121	543
183	122	541
184	122	539
185	122	537
186	123	536
187	123	533
188	123	531
189	124	530
190	124	528
191	125	526
192	125	524
193	125	522
194	125	519
195	126	517
196	126	516
197	126	514
198	127	512
199	127	510
200	128	509
201	128	507
202	128	506
203	129	504
204	129	502
205	129	500
206	130	498
207	130	496
208	130	495
209	131	493
210	131	491
211	131	490
212	132	488
213	132	486
214	132	485
215	133	483
216	133	482
217	133	480
218	134	478
219	134	477
220	135	476
221	135	474
222	135	472
223	136	471
224	136	469
225	136	468
226	137	466
227	137	465
228	137	463
229	138	462
230	138	460
231	138	459
232	139	458
233	139	456
234	139	455
235	140	453
236	140	452
237	140	450
238	141	449
239	141	448
240	141	446
241	142	445
242	142	444
243	142	442
244	143	441
245	143	439
246	143	438
247	144	437
248	144	435
249	144	434
250	145	433
251	145	431
252	145	430
253	146	429
254	146	427
255	146	426
256	147	425
257	147	424
258	147	422
259	148	421
260	148	420
261	148	419
262	149	418
263	149	417
264	149	415
265	150	414
266	150	413
267	150	412
268	151	411
269	151	410
270	151	408
271	152	407
272	152	406
273	152	405
274	153	404
275	153	402
276	153	401
277	154	400
278	154	399
279	154	398
280	155	397
281	155	396
282	155	395
283	156	394
284	156	393
285	157	392
286	157	391
287	157	389
288	158	388
289	158	387
290	158	386
291	159	385
292	159	384
293	159	383
294	160	382
295	160	381
296	160	380
297	161	379
298	161	378
299	161	377
300	161	375
301	162	375
302	162	374
303	163	373
304	163	372
305	163	370
306	163	369
307	164	368
308	164	367
309	164	366
310	164	365
311	165	364
312	165	362
313	165	361
314	165	360
315	166	359
316	166	358
317	166	357
318	166	356
319	167	355
320	167	354
321	167	353
322	167	352
323	168	351
324	168	350
325	168	349
326	169	348
327	169	347
328	169	346
329	169	345
330	170	344
331	170	342
332	170	341
333	170	340
334	171	340
335	171	339
336	171	338
337	172	337
338	172	336
339	172	335
340	172	334
341	173	333
342	173	332
343	173	331
344	173	330
345	174	329
346	174	328
347	174	327
348	175	326
349	175	325
350	175	324
351	175	323
352	176	322
353	176	321
354	176	321
355	177	320
356	177	319
357	177	318
358	177	317
359	178	316
360	178	315
361	178	314
362	178	313
363	179	313
364	179	312
365	179	311
366	179	310
367	180	309
368	180	308
369	180	307
370	181	307
371	181	306
372	181	305
373	181	304
374	182	303
375	182	302
376	182	301
377	182	300
378	183	300
379	183	299
380	183	298
381	183	297
382	184	296
383	184	295
384	184	295
385	184	294
386	185	293
387	185	292
388	185	291
389	186	290
390	186	290
391	186	289
392	186	288
393	187	287
394	187	286
395	187	286
396	187	285
397	188	284
398	188	283
399	188	283
400	188	282
401	189	281
402	189	280
403	189	279
404	190	279
405	190	278
406	190	277
407	190	276
408	191	276
409	191	275
410	191	274
411	192	274
412	192	273
413	192	272
414	192	271
415	193	271
416	193	270
417	193	269
418	194	269
419	194	268
420	194	267
421	194	266
422	195	266
423	195	265
424	195	264
425	195	264
426	196	263
427	196	262
428	196	261
429	196	261
430	197	260
431	197	259
432	197	258
433	198	258
434	198	257
435	198	256
436	198	256
437	199	255
438	199	254
439	199	254
440	199	253
441	200	252
442	200	252
443	200	251
444	201	250
445	201	250
446	201	249
447	201	248
448	202	248
449	202	247
450	202	246
451	203	246
452	203	245
453	203	244
454	203	244
455	204	243
456	204	242
457	204	242
458	205	241
459	205	240
460	205	240
461	205	239
462	206	238
463	206	238
464	206	237
465	206	237
466	207	236
467	207	235
468	207	235
469	207	234
470	208	233
471	208	233
472	208	232
473	208	231
474	209	231
475	209	230
476	209	229
477	210	229
478	210	228
479	210	228
480	210	227
481	211	226
482	211	226
483	211	225
484	211	225
485	212	224
486	212	223
487	212	223
488	213	222
489	213	222
490	213	221
491	214	221
492	214	220
493	214	220
494	215	219
495	215	218
496	215	218
497	215	217
498	216	216
499	216	216
500	216	215
501	216	215
502	217	214
503	217	213
504	217	213
505	217	212
506	218	212
507	218	211
508	218	210
509	218	210
510	219	209
511	219	209
512	219	208
513	220	208
514	220	207
515	220	207
516	221	206
517	221	206
518	221	205
519	221	204
520	222	204
521	222	203
522	222	203
523	223	202
524	223	202
525	223	201
526	223	200
527	224	200
528	224	199
529	224	199
530	225	198
531	225	198
532	225	197
533	225	197
534	226	196
535	226	195
536	226	195
537	226	194
538	227	194
539	227	193
540	227	193
541	227	192
542	228	192
543	228	191
544	228	190
545	228	190
546	229	189
547	229	189
548	229	188
549	229	188
550	230	187
551	230	186
552	230	186
553	230	185
554	231	185
555	231	184
556	231	184
557	232	183
558	232	183
559	232	182
560	232	182
561	233	181
562	233	181
563	233	180
564	233	180
565	234	179
566	234	178
567	234	178
568	234	177
569	235	177
570	235	176
571	235	176
572	236	175
573	236	175
574	236	174
575	236	174
576	237	173
577	237	173
578	237	172
579	237	172
580	238	171
581	238	171
582	238	170
583	239	170
584	239	169
585	239	169
586	239	168
587	240	168
588	240	167
589	240	167
590	240	166
591	241	166
592	241	165
593	241	165
594	241	164
595	242	164
596	242	163
597	242	163
598	243	162
599	243	162
600	243	161
601	243	161
602	244	160
603	244	160
604	244	159
605	244	159
606	245	158
607	245	158
608	245	157
609	245	157
610	246	156
611	246	156
612	246	155
613	246	155
614	247	154
615	247	154
616	247	153
617	248	153
618	248	152
619	248	152
620	248	151
621	249	151
622	249	150
623	249	150
624	249	149
625	250	149
626	250	148
627	250	148
628	250	147
629	251	147
630	251	147
631	251	146
632	251	146
633	252	145
634	252	145
635	252	144
636	253	144
637	253	143
638	253	143
639	253	142
640	254	142
641	254	141
642	254	141
643	255	141
644	255	140
645	255	140
646	255	139
647	256	139
648	256	138
649	256	138
650	257	137
651	257	137
652	257	136
653	257	136
654	258	135
655	258	135
656	258	135
657	258	134
658	259	134
659	259	133
660	259	133
661	259	132
662	260	132
663	260	131
664	260	131
665	261	130
666	261	130
667	261	130
668	261	129
669	262	129
670	262	128
671	262	128
672	262	127
673	263	127
674	263	126
675	263	126
676	264	125
677	264	125
678	264	125
679	264	124
680	265	124
681	265	123
682	265	123
683	265	122
684	266	122
685	266	121
686	266	121
687	266	121
688	267	120
689	267	120
690	267	119
691	268	119
692	268	118
693	268	118
694	268	118
695	269	117
696	269	117
697	269	116
698	270	116
699	270	115
700	270	115
701	270	115
702	271	114
703	271	114
704	271	113
705	271	113
706	272	112
707	272	112
708	272	111
709	272	111
710	273	111
711	273	110
712	273	110
713	273	109
714	274	109
715	274	108
716	274	108
717	274	108
718	275	107
719	275	107
720	275	106
721	276	106
722	276	105
723	276	105
724	276	105
725	277	104
726	277	104
727	277	103
728	278	103
729	278	102
730	278	102
731	278	102
732	279	101
733	279	101
734	279	100
735	279	100
736	280	100
737	280	99
738	280	99
739	281	98
740	281	98
741	281	97
742	281	97
743	282	97
744	282	96
745	282	96
746	282	95
747	283	95
748	283	94
749	283	94
750	283	94
751	284	93
752	284	93
753	284	92
754	285	92
755	285	92
756	285	91
757	285	91
758	286	90
759	286	90
760	286	90
761	287	89
762	287	89
763	287	88
764	287	88
765	288	88
766	288	87
767	288	87
768	288	86
769	289	86
770	289	85
771	289	85
772	290	85
773	290	84
774	290	84
775	290	83
776	291	83
777	291	83
778	291	82
779	291	82
780	292	81
781	292	81
782	292	81
783	292	80
784	293	80
785	293	79
786	293	79
787	293	79
788	294	78
789	294	78
790	294	77
791	295	77
792	295	77
793	295	76
794	295	76
795	296	75
796	296	75
797	296	75
798	296	74
799	297	74
800	297	73
801	297	73
802	297	73
803	298	72
804	298	72
805	298	71
806	299	71
807	299	71
808	299	70
809	300	70
810	300	69
811	300	69
812	300	69
813	301	68
814	301	68
815	301	68
816	302	67
817	302	67
818	302	66
819	302	66
820	303	66
821	303	65
822	303	65
823	303	64
824	304	64
825	304	64
826	304	63
827	305	63
828	305	63
829	305	62
830	306	62
831	306	61
832	306	61
833	306	61
834	307	60
835	307	60
836	307	59
837	307	59
838	308	59
839	308	58
840	308	58
841	309	58
842	309	57
843	309	57
844	310	56
845	310	56
846	310	56
847	310	55
848	311	55
849	311	54
850	311	54
851	311	54
852	312	53
853	312	53
854	312	53
855	313	52
856	313	52
857	313	51
858	313	51
859	314	51
860	314	50
861	314	50
862	314	50
863	315	49
864	315	49
865	315	48
866	316	48
867	316	48
868	316	47
869	316	47
870	317	46
871	317	46
872	317	46
873	318	45
874	318	45
875	318	45
876	318	44
877	319	44
878	319	43
879	319	43
880	320	43
881	320	42
882	320	42
883	320	42
884	321	41
885	321	41
886	321	40
887	321	40
888	322	40
889	322	39
890	322	39
891	322	39
892	323	38
893	323	38
894	323	37
895	324	37
896	324	37
897	324	36
898	325	36
899	325	36
900	325	35
901	326	35
902	326	35
903	326	34
904	326	34
905	327	33
906	327	33
907	327	33
908	328	32
909	328	32
910	328	32
911	328	31
912	329	31
913	329	30
914	329	30
915	329	30
916	330	29
917	330	29
918	330	29
919	331	28
920	331	28
921	331	28
922	332	27
923	332	27
924	332	26
925	333	26
926	333	26
927	333	25
928	333	25
929	334	25
930	334	24
931	334	24
932	335	24
933	335	23
934	335	23
935	335	22
936	336	22
937	336	22
938	336	21
939	336	21
940	337	21
941	337	20
