iter	Passed	Remaining
0	57	57117
1	58	28944
2	58	19554
3	59	14828
4	59	11936
5	60	10046
6	61	8654
7	61	7606
8	62	6827
9	62	6172
10	62	5657
11	63	5223
12	63	4850
13	64	4529
14	64	4263
15	65	4013
16	65	3797
17	66	3605
18	66	3445
19	67	3291
20	67	3158
21	68	3039
22	69	2970
23	70	2858
24	70	2762
25	71	2673
26	71	2594
27	72	2521
28	73	2449
29	74	2394
30	74	2331
31	74	2268
32	75	2210
33	75	2155
34	76	2101
35	76	2053
36	76	2003
37	77	1959
38	77	1920
39	78	1880
40	78	1842
41	79	1807
42	79	1771
43	80	1741
44	80	1708
45	80	1679
46	81	1653
47	82	1627
48	82	1606
49	83	1579
50	83	1554
51	84	1531
52	84	1507
53	84	1483
54	85	1461
55	85	1441
56	85	1419
57	86	1398
58	86	1380
59	86	1362
60	87	1346
61	87	1330
62	89	1336
63	90	1321
64	90	1305
65	91	1290
66	91	1276
67	92	1262
68	92	1247
69	92	1232
70	93	1220
71	93	1208
72	94	1205
73	95	1193
74	95	1181
75	96	1170
76	96	1158
77	97	1148
78	97	1138
79	98	1130
80	98	1118
81	98	1107
82	99	1094
83	99	1084
84	99	1075
85	100	1065
86	100	1055
87	100	1046
88	101	1037
89	101	1030
90	102	1025
91	103	1018
92	103	1011
93	104	1003
94	104	997
95	105	993
96	106	988
97	107	990
98	108	983
99	108	975
100	108	968
101	109	963
102	109	956
103	110	949
104	110	943
105	111	937
106	111	931
107	111	924
108	112	919
109	112	912
110	113	905
111	113	899
112	113	894
113	114	888
114	114	884
115	115	880
116	116	875
117	116	871
118	117	867
119	117	862
120	118	857
121	118	853
122	119	850
123	119	844
124	120	840
125	120	836
126	120	831
127	121	827
128	122	824
129	122	820
130	123	816
131	123	811
132	123	805
133	124	801
134	124	797
135	124	793
136	125	789
137	125	784
138	125	780
139	126	775
140	126	771
141	127	767
142	127	763
143	127	760
144	128	756
145	128	752
146	129	750
147	129	746
148	130	743
149	130	740
150	131	736
151	131	734
152	132	734
153	133	731
154	133	728
155	134	725
156	134	722
157	135	720
158	135	717
159	137	719
160	137	715
161	137	712
162	138	708
163	138	706
164	139	704
165	139	702
166	140	699
167	140	696
168	141	694
169	141	690
170	142	689
171	142	686
172	143	683
173	143	681
174	144	678
175	144	676
176	145	674
177	145	672
178	146	672
179	147	671
180	147	669
181	148	668
182	149	665
183	149	663
184	150	661
185	150	658
186	150	656
187	151	653
188	151	651
189	152	649
190	152	646
191	153	644
192	153	641
193	154	640
194	154	638
195	155	636
196	155	633
197	155	631
198	156	628
199	156	626
200	156	624
201	157	621
202	157	619
203	158	617
204	158	615
205	159	613
206	159	611
207	160	612
208	161	610
209	161	608
210	162	606
211	162	604
212	163	603
213	163	600
214	163	598
215	164	597
216	164	594
217	165	593
218	165	591
219	166	589
220	166	587
221	167	585
222	167	584
223	168	583
224	169	582
225	169	580
226	169	578
227	170	577
228	170	575
229	171	573
230	171	571
231	172	569
232	172	567
233	172	565
234	172	563
235	173	561
236	173	559
237	174	557
238	174	555
239	175	554
240	175	552
241	175	550
242	176	549
243	176	547
244	177	546
245	177	544
246	178	543
247	178	541
248	179	540
249	179	538
250	180	537
251	180	535
252	180	534
253	181	532
254	182	531
255	182	530
256	182	528
257	183	528
258	184	526
259	184	525
260	185	524
261	185	522
262	185	521
263	186	519
264	186	517
265	187	517
266	187	515
267	188	514
268	188	512
269	189	511
270	189	509
271	189	508
272	190	506
273	190	505
274	191	503
275	191	502
276	192	501
277	192	499
278	192	498
279	193	496
280	193	495
281	193	493
282	194	491
283	194	490
284	194	488
285	195	487
286	196	487
287	196	485
288	197	486
289	198	485
290	198	484
291	199	483
292	199	482
293	200	480
294	200	479
295	200	477
296	201	476
297	201	475
298	202	473
299	202	472
300	202	471
301	203	470
302	203	468
303	204	467
304	204	465
305	204	464
306	205	463
307	205	461
308	206	460
309	206	459
310	206	458
311	207	457
312	208	456
313	208	456
314	209	454
315	209	453
316	209	452
317	210	451
318	210	450
319	211	448
320	211	447
321	211	446
322	212	444
323	213	446
324	214	445
325	214	444
326	215	443
327	215	442
328	216	441
329	216	440
330	217	439
331	217	438
332	218	437
